Period,Rank,Fund,Sharpe Ratio
2012-07,1,260116,0.3663
2012-07,2,070002,-0.2501
2012-07,3,270006,-0.1915
2012-07,4,161005,0.0031
2012-07,5,163402,0.1054
2012-07,6,110011,0.1097
2012-07,7,040001,0.0533
2012-07,8,050001,0.0171
2012-07,9,202002,-0.1642
2012-07,10,377010,-0.2626
2013-01,1,260116,0.5859
2013-01,2,110011,0.2355
2013-01,3,163402,-0.101
2013-01,4,040001,-0.0947
2013-01,5,050001,-0.608
2013-01,6,161005,0.0301
2013-01,7,270006,-0.0901
2013-01,8,202002,-0.0325
2013-01,9,070002,0.5216
2013-01,10,377010,-0.1474
2013-07,1,260116,0.2708
2013-07,2,070002,0.2622
2013-07,3,110011,0.2969
2013-07,4,161005,0.8253
2013-07,5,202002,0.3401
2013-07,6,040001,0.4228
2013-07,7,270006,0.4182
2013-07,8,163402,0.659
2013-07,9,377010,0.7767
2013-07,10,050001,0.3193
2014-01,1,161005,-0.1737
2014-01,2,377010,-0.6555
2014-01,3,163402,0.2365
2014-01,4,270006,-0.2263
2014-01,5,040001,0.0428
2014-01,6,260116,-0.2654
2014-01,7,202002,-0.0755
2014-01,8,050001,-0.3357
2014-01,9,070002,-0.0157
2014-01,10,110011,-0.0395
2014-07,1,163402,2.1009
2014-07,2,040001,0.979
2014-07,3,070002,0.957
2014-07,4,110011,1.7407
2014-07,5,202002,1.429
2014-07,6,161005,1.577
2014-07,7,050001,1.6758
2014-07,8,270006,0.8283
2014-07,9,260116,2.0554
2014-07,10,377010,0.6292
2015-01,1,260116,1.6567
2015-01,2,110011,1.3107
2015-01,3,163402,1.5237
2015-01,4,161005,2.0412
2015-01,5,050001,0.574
2015-01,6,202002,1.3556
2015-01,7,270006,1.2714
2015-01,8,070002,1.957
2015-01,9,040001,1.4114
2015-01,10,377010,1.9659
2015-07,1,377010,-0.3607
2015-07,2,070002,-0.1224
2015-07,3,161005,-0.0044
2015-07,4,260116,-0.356
2015-07,5,270006,-0.1144
2015-07,6,202002,0.0013
2015-07,7,163402,0.082
2015-07,8,110011,-0.232
2015-07,9,040001,-0.1135
2015-07,10,050001,-0.3309
2016-01,1,163402,-0.2429
2016-01,2,202002,-0.3878
2016-01,3,161005,-0.358
2016-01,4,070002,-0.0939
2016-01,5,040001,-0.4978
2016-01,6,270006,-0.372
2016-01,7,110011,0.0988
2016-01,8,050001,-0.5062
2016-01,9,260116,-0.4523
2016-01,10,377010,-0.373
2016-07,1,110011,0.4078
2016-07,2,070002,-0.3803
2016-07,3,163402,0.5417
2016-07,4,377010,0.1701
2016-07,5,202002,0.0507
2016-07,6,050001,0.3304
2016-07,7,161005,-0.1595
2016-07,8,040001,-0.5919
2016-07,9,270006,-0.109
2016-07,10,260116,0.301
2017-01,1,110011,2.295
2017-01,2,163402,0.7387
2017-01,3,260116,2.1221
2017-01,4,050001,0.4978
2017-01,5,377010,1.6636
2017-01,6,202002,1.0503
2017-01,7,270006,0.2264
2017-01,8,161005,1.1144
2017-01,9,070002,-0.6009
2017-01,10,040001,0.1744
2017-07,1,110011,1.0391
2017-07,2,260116,1.0865
2017-07,3,377010,-0.0317
2017-07,4,161005,0.8616
2017-07,5,202002,0.6348
2017-07,6,163402,1.4976
2017-07,7,050001,-0.338
2017-07,8,270006,0.7005
2017-07,9,040001,0.2094
2017-07,10,070002,0.8423
2018-01,1,260116,-0.3332
2018-01,2,163402,-0.4099
2018-01,3,110011,0.2815
2018-01,4,161005,-0.1705
2018-01,5,070002,0.1297
2018-01,6,270006,-0.8388
2018-01,7,202002,-0.4248
2018-01,8,040001,-0.7321
2018-01,9,377010,-0.679
2018-01,10,050001,-0.644
2018-07,1,110011,-0.6423
2018-07,2,070002,-0.5783
2018-07,3,161005,-0.901
2018-07,4,202002,-0.9595
2018-07,5,163402,-0.5393
2018-07,6,260116,-0.8276
2018-07,7,050001,-0.5649
2018-07,8,040001,-0.8312
2018-07,9,377010,-1.0598
2018-07,10,270006,-0.8237
2019-01,1,050001,1.1605
2019-01,2,163402,1.2377
2019-01,3,070002,1.7191
2019-01,4,040001,1.3586
2019-01,5,202002,0.9357
2019-01,6,110011,1.822
2019-01,7,260116,1.3041
2019-01,8,270006,1.1647
2019-01,9,161005,1.5819
2019-01,10,377010,1.2785
2019-07,1,110011,0.5889
2019-07,2,161005,1.083
2019-07,3,070002,1.0733
2019-07,4,260116,1.01
2019-07,5,270006,1.1502
2019-07,6,377010,1.4923
2019-07,7,163402,0.9939
2019-07,8,040001,0.8986
2019-07,9,050001,1.6053
2019-07,10,202002,1.4591
2020-01,1,377010,0.6238
2020-01,2,202002,1.2512
2020-01,3,050001,0.7272
2020-01,4,161005,0.8681
2020-01,5,270006,0.6805
2020-01,6,070002,1.4861
2020-01,7,260116,0.675
2020-01,8,163402,0.7243
2020-01,9,110011,0.8328
2020-01,10,040001,0.2809
2020-07,1,070002,1.168
2020-07,2,202002,0.9824
2020-07,3,161005,1.2824
2020-07,4,110011,2.0946
2020-07,5,270006,1.5972
2020-07,6,260116,1.3702
2020-07,7,377010,1.2698
2020-07,8,163402,1.3972
2020-07,9,050001,0.9849
2020-07,10,040001,1.7298
2021-01,1,110011,-0.0843
2021-01,2,040001,0.3227
2021-01,3,270006,0.2786
2021-01,4,260116,-0.0177
2021-01,5,161005,0.2622
2021-01,6,163402,-0.0137
2021-01,7,377010,0.6857
2021-01,8,070002,0.5295
2021-01,9,202002,0.3787
2021-01,10,050001,0.2111
2021-07,1,377010,0.4314
2021-07,2,070002,-0.7179
2021-07,3,202002,-0.28
2021-07,4,040001,0.8538
2021-07,5,270006,0.3178
2021-07,6,161005,-0.3113
2021-07,7,050001,-0.4239
2021-07,8,163402,0.2811
2021-07,9,260116,0.2206
2021-07,10,110011,-0.6108
2022-01,1,040001,-0.3639
2022-01,2,270006,0.0808
2022-01,3,377010,-0.3552
2022-01,4,260116,-0.2358
2022-01,5,163402,-0.5201
2022-01,6,161005,-0.4946
2022-01,7,202002,-0.3161
2022-01,8,050001,-0.3065
2022-01,9,110011,-0.1642
2022-01,10,070002,-0.4604
2022-07,1,270006,-0.4923
2022-07,2,110011,-0.2801
2022-07,3,050001,-0.734
2022-07,4,260116,-0.9194
2022-07,5,202002,-0.6789
2022-07,6,377010,-0.953
2022-07,7,040001,-0.7854
2022-07,8,070002,-0.2205
2022-07,9,161005,-0.7931
2022-07,10,163402,-0.6101
2023-01,1,070002,-0.221
2023-01,2,110011,-0.5064
2023-01,3,163402,0.0167
2023-01,4,050001,0.1455
2023-01,5,270006,-0.3512
2023-01,6,202002,-0.1572
2023-01,7,161005,-0.0184
2023-01,8,040001,-0.4654
2023-01,9,260116,0.0352
2023-01,10,377010,0.1685
2023-07,1,377010,-1.1696
2023-07,2,050001,-1.0358
2023-07,3,260116,-0.6118
2023-07,4,163402,-1.0749
2023-07,5,161005,-0.8091
2023-07,6,202002,-1.3018
2023-07,7,070002,-1.3261
2023-07,8,040001,-1.0015
2023-07,9,270006,-1.131
2023-07,10,110011,-0.5579
2024-01,1,260116,0.5401
2024-01,2,161005,-0.0972
2024-01,3,050001,0.4861
2024-01,4,110011,-0.2128
2024-01,5,202002,-0.0388
2024-01,6,070002,-0.4133
2024-01,7,040001,-0.3975
2024-01,8,163402,0.0007
2024-01,9,270006,-0.42
2024-01,10,377010,0.0176
2024-07,1,260116,-0.0444
2024-07,2,050001,0.1403
2024-07,3,377010,0.4521
2024-07,4,163402,0.3408
2024-07,5,202002,0.3321
2024-07,6,161005,0.1079
2024-07,7,110011,0.2259
2024-07,8,070002,0.3486
2024-07,9,270006,0.0394
2024-07,10,040001,0.4379
